"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","location__type","location__coordinates__001","location__coordinates__002"
"Grand Canal Dock Railway Station","53.339531558804765","-6.237296700155354","1 Grand Canal Dock","Dublin","Dublin City","Ireland","Point","53.339531558804765","-6.237296700155354"
"Lansdowne Road DART Station","53.333998520681305","-6.22883380734766","Lansdowne Rd.","Dublin","Dublin City","Ireland","Point","53.333998520681305","-6.22883380734766"
"Dublin Connolly Railway Station","53.351913261768225","-6.248971195838131","Amiens St","Dublin","Dublin City","Ireland","Point","53.351913261768225","-6.248971195838131"
"Dublin Pearse Railway Station","53.34329860826152","-6.2482467361181975","Westland Row, Pearse St","Dublin","Dublin City","Ireland","Point","53.34329860826152","-6.2482467361181975"
"Tara Street Railway Station","53.346795071910215","-6.253919005393982","Tara St","Dublin","Dublin City","Ireland","Point","53.346795071910215","-6.253919005393982"
"Docklands Railway Station","53.35107045940467","-6.239555552927532","Upper Sherrif St (Docklands)","Dublin","Dublin City","Ireland","Point","53.35107045940467","-6.239555552927532"
"Enterprise Lounge","53.35185281033829","-6.248577213589296","Connolly Station, Amiens St","Dublin","Dublin City","Ireland","Point","53.35185281033829","-6.248577213589296"
"Sydney Parade DART Station","53.32048932773806","-6.21117578127791","Sydney Parade Ave","Dublin","Dublin City","Ireland","Point","53.32048932773806","-6.21117578127791"
"Maynooth Train","53.353145","-6.24678699531749","Connolly Station","Dublin","Dublin City","Ireland","Point","53.353145","-6.24678699531749"
"Drogheda Train","53.34330751867266","-6.248334646224976","Pearse Station","Dublin","Dublin City","Ireland","Point","53.34330751867266","-6.248334646224976"
"Platform 1","53.34321948782063","-6.248417323448127","Pearse Station, Pearse St","Dublin","Dublin City","Ireland","Point","53.34321948782063","-6.248417323448127"
"Platform 2","53.343361605490514","-6.248317597772509","Pearse St Station, Pearse St","Dublin","Dublin City","Ireland","Point","53.343361605490514","-6.248317597772509"
"Platform 6","53.352781872625286","-6.247519279986348","Connolly Station, Amiens St","Dublin","Dublin City","Ireland","Point","53.352781872625286","-6.247519279986348"
"Platform 7","53.352899206937415","-6.2476143528484105","Connolly Station, Amiens St","Dublin","Dublin City","Ireland","Point","53.352899206937415","-6.2476143528484105"
"Enterprise Train To Belfast","53.35135517559769","-6.249035202557964","Connolly Station","Dublin","Dublin City","Ireland","Point","53.35135517559769","-6.249035202557964"
"Enterprise Dublin Connolly to Belfast Central Train","53.35242511071525","-6.247215307223172","Dublin Connolly Railway Station (Amiens St.)","Dublin","Dublin City","Ireland","Point","53.35242511071525","-6.247215307223172"
"Platform 1","53.34626827050906","-6.254790048957706","Tara Street Station","Dublin","Dublin City","Ireland","Point","53.34626827050906","-6.254790048957706"
"DART Train","53.350615360653734","-6.252572536468506","Traenach DART","Dublin","Dublin City","Ireland","Point","53.350615360653734","-6.252572536468506"
"Platform 3","53.35181188034349","-6.248653119142713","Conolly Station","Dublin","Dublin City","Ireland","Point","53.35181188034349","-6.248653119142713"
"Platform 2","53.35183555895832","-6.248647916860994","Connolly Station, Amiens St","Dublin","Dublin City","Ireland","Point","53.35183555895832","-6.248647916860994"
"Platform 4","53.35180349475409","-6.248767037029774","Connolly Station (Amiens St.)","Dublin","Dublin City","Ireland","Point","53.35180349475409","-6.248767037029774"
"Platform 1","53.35239287248575","-6.247313202321647","Connolly Station (Stáisiún Uí Chonghaile) (Sráid Amiens)","Dublin","Dublin City","Ireland","Point","53.35239287248575","-6.247313202321647"
"Platform 9 3/4","53.35271459462343","-6.247598115241077","Connolly Station","Dublin","Dublin City","Ireland","Point","53.35271459462343","-6.247598115241077"
"Platform 5","53.35267903568023","-6.2478212967006925","Connolly Station, Amiens St","Dublin","Dublin City","Ireland","Point","53.35267903568023","-6.2478212967006925"
"Sligo-Dublin Train","53.35491225593472","-6.245162440913676","Connolly Station","Dublin","Dublin City","Ireland","Point","53.35491225593472","-6.245162440913676"
"Drumcondra Station","53.363245052303945","-6.258264717507976","Drumcondra Rd","Dublin","Dublin City","Ireland","Point","53.363245052303945","-6.258264717507976"
"Team Jacked","53.3301101","-6.271878000000015","23A Bloomfield Ave","Dublin","Dublin City","Ireland","Point","53.3301101","-6.271878000000015"
"Dublin Port - Stena Railway Station (DPS)","53.3498","-6.197144","Port Centre (Alexandra Rd)","Dublin","Dublin City","Ireland","Point","53.3498","-6.197144"
"Irish rail - Commuter Train","53.3562772398729","-6.242835746060604","Dublin","Dublin City","Ireland","","Point","53.3562772398729","-6.242835746060604"
"Clontarf Road DART Station","53.36616292621406","-6.219100221801152","Clontarf Rd","Dublin","Dublin City","Ireland","Point","53.36616292621406","-6.219100221801152"
"Busáras","53.349566662951894","-6.251895679007995","Store St","Dublin","Dublin City","Ireland","Point","53.349566662951894","-6.251895679007995"
"Platform 1","53.3627845553809","-6.227605548780001","Clontarf Train Station, Clontarf Rd","Dublin","Dublin City","Ireland","Point","53.3627845553809","-6.227605548780001"
"Clontarf DART Driver's Changeover","53.3627852811045","-6.227583837973582","Clontarf","Dublin","Dublin City","Ireland","Point","53.3627852811045","-6.227583837973582"
